,Date,Open,High,Low,Close,Adj Close,Volume
46,Oct-09-2019,198.19,198.98,196.68,196.85,195.75,2443500
47,Oct-08-2019,197.60,198.95,195.92,197.37,196.26,2654900
48,Oct-08-2019,197.60,198.95,195.92,197.37,196.26,2654900
49,Oct-07-2019,200.79,202.53,199.47,200.40,199.28,2202200
50,Oct-04-2019,196.99,201.23,196.04,200.80,199.67,3021100
51,Oct-03-2019,197.61,198.37,193.99,197.24,196.13,2914500
52,Oct-02-2019,201.69,201.88,197.60,198.25,197.14,3386800
53,Oct-01-2019,207.01,209.38,202.61,202.69,201.55,3156200
54,Sep-30-2019,209.71,209.71,206.83,207.23,206.07,1794500
55,Sep-27-2019,209.85,210.55,208.09,208.97,207.80,1530900
56,Sep-26-2019,209.05,209.97,208.11,208.22,207.05,1685500
57,Sep-25-2019,207.96,211.09,207.45,210.03,208.85,1593400
58,Sep-24-2019,214.04,214.20,206.80,207.75,206.59,2837600
59,Sep-23-2019,212.85,214.11,211.56,213.46,212.26,1485500
60,Sep-20-2019,214.66,216.68,213.63,213.74,212.54,5458900
61,Sep-20-2019,214.66,216.68,213.63,213.74,212.54,5458900
62,Sep-19-2019,217.58,217.93,215.06,215.23,214.02,1596200
63,Sep-18-2019,214.83,217.89,213.30,217.08,215.86,2474900
64,Sep-17-2019,215.80,216.14,212.54,215.91,214.70,2429100
65,Sep-16-2019,217.82,219.33,216.32,217.22,216.00,2205500
66,Sep-13-2019,220.35,221.50,219.20,219.90,218.67,2722400
67,Sep-12-2019,216.38,220.76,215.15,218.74,217.51,2913800
68,Sep-11-2019,215.21,216.85,213.36,216.80,215.58,1886300
69,Sep-11-2019,215.21,216.85,213.36,216.80,215.58,1886300
70,Sep-10-2019,213.50,217.09,213.22,215.63,214.42,2615800
71,Sep-09-2019,209.22,213.88,208.44,211.98,210.79,2734500
72,Sep-06-2019,207.06,208.25,205.57,207.21,206.05,1438800
73,Sep-05-2019,205.27,208.93,205.04,207.05,205.89,2237900
74,Sep-04-2019,201.49,202.10,200.05,201.73,200.60,1720600
75,Sep-03-2019,201.10,201.61,196.58,198.97,197.85,2633600
76,Aug-30-2019,204.85,205.21,203.01,203.91,202.77,1529600
77,Aug-29-2019,201.36,204.37,201.36,203.44,202.30,1816800
78,Aug-28-2019,196.57,201.47,196.25,200.42,198.05,1437800
79,Aug-27-2019,200.33,200.86,196.50,198.07,195.73,1513300
80,Aug-26-2019,198.27,199.71,198.00,199.65,197.29,1441900
81,Aug-23-2019,200.81,201.88,195.19,196.20,193.88,2200500
82,Aug-22-2019,202.28,203.45,200.91,202.42,200.03,1275900
83,Aug-21-2019,202.74,203.02,200.17,200.68,198.31,1160800
84,Aug-20-2019,200.21,201.99,199.70,199.98,197.62,1545600
85,Aug-19-2019,203.81,204.45,201.82,202.20,199.81,1646100
86,Aug-16-2019,197.03,200.67,197.00,199.42,197.07,1878700
87,Aug-15-2019,195.91,196.97,193.71,196.18,193.86,1981900
88,Aug-15-2019,195.91,196.97,193.71,196.18,193.86,1981900
89,Aug-14-2019,199.80,199.91,195.06,195.56,193.25,3025100
90,Aug-13-2019,201.51,206.60,200.23,204.11,201.70,2115900
91,Aug-12-2019,203.28,204.15,200.48,201.52,199.14,1479300
92,Aug-09-2019,205.62,208.30,203.86,206.90,204.46,1790100
93,Aug-08-2019,207.17,207.80,203.54,207.00,204.56,2342200
94,Aug-07-2019,201.11,205.96,199.05,205.74,203.31,2454200
95,Aug-06-2019,203.56,206.07,200.89,206.01,203.58,2349400
96,Aug-05-2019,205.82,205.82,199.58,201.68,199.30,2794200
97,Aug-02-2019,211.58,211.58,205.31,209.37,206.90,2503000
98,Aug-01-2019,219.35,219.95,210.76,211.60,209.10,3070100
99,Jul-31-2019,221.24,221.98,219.01,220.13,217.53,1991100
100,Jul-30-2019,218.49,221.99,217.33,221.40,218.79,1644600
101,Jul-29-2019,221.00,222.13,220.20,220.32,217.72,1372800
102,Jul-26-2019,220.45,222.24,220.37,222.14,219.52,2304500
103,Jul-25-2019,221.77,221.77,218.23,219.98,217.38,2776700
104,Jul-24-2019,219.25,222.09,218.63,222.03,219.41,3180000
105,Jul-23-2019,214.95,220.00,214.95,219.43,216.84,3330600
106,Jul-22-2019,213.40,214.86,212.31,214.00,211.47,1907100
107,Jul-19-2019,214.02,215.77,213.35,213.52,211.00,1822300
108,Jul-18-2019,212.71,215.83,211.75,214.52,211.99,2859000
109,Jul-17-2019,213.83,215.78,213.16,213.30,210.78,2583500
110,Jul-16-2019,214.80,217.33,212.55,215.52,212.98,5283700
111,Jul-15-2019,214.11,214.60,209.79,211.58,209.08,2600200
112,Jul-12-2019,212.00,214.19,210.79,213.94,211.41,2626000
113,Jul-11-2019,206.20,212.59,206.00,211.35,208.85,3691600
114,Jul-11-2019,206.20,212.59,206.00,211.35,208.85,3691600
115,Jul-10-2019,207.18,208.99,205.65,205.97,203.54,1779800
116,Jul-09-2019,203.75,207.94,203.54,207.77,205.32,1812100
117,Jul-08-2019,206.36,207.25,204.71,205.75,203.32,1853900
118,Jul-05-2019,206.86,208.76,206.20,207.90,205.44,1511400
119,Jul-03-2019,207.30,207.40,205.23,206.04,203.61,978800
120,Jul-02-2019,205.40,206.31,204.16,205.98,203.55,1621400
121,Jul-02-2019,205.40,206.31,204.16,205.98,203.55,1621400
122,Jul-01-2019,208.00,209.85,205.74,206.86,204.42,2465700
123,Jun-28-2019,203.50,205.84,202.94,204.60,202.18,4854900
124,Jun-27-2019,197.57,199.61,196.76,199.32,196.97,2239200
125,Jun-26-2019,196.50,197.87,196.12,197.01,194.68,1649900
126,Jun-25-2019,197.50,197.52,194.01,196.06,193.74,1828300
127,Jun-24-2019,196.53,199.35,196.03,197.49,195.16,2069800
128,Jun-21-2019,195.34,198.34,193.97,195.94,193.63,3365500
129,Jun-20-2019,197.50,198.19,193.61,195.70,193.39,2749300
