,Date,Open,High,Low,Close,Adj Close,Volume
52,Sep-27-2019,231.61,231.75,229.13,229.86,228.40,3152000
53,Sep-26-2019,229.68,231.12,229.00,229.79,228.33,4200600
54,Sep-25-2019,226.59,228.45,224.50,228.10,226.65,3716700
55,Sep-24-2019,228.14,230.24,224.78,225.41,223.98,4511300
56,Sep-23-2019,224.16,227.14,223.95,226.25,224.81,2754000
57,Sep-20-2019,227.99,230.05,224.23,224.67,223.24,7687700
58,Sep-20-2019,227.99,230.05,224.23,224.67,223.24,7687700
59,Sep-19-2019,231.15,231.40,227.95,228.12,226.67,3134000
60,Sep-18-2019,230.37,231.53,229.01,230.83,229.36,3341800
61,Sep-17-2019,226.79,230.33,226.47,230.21,228.75,3732500
62,Sep-16-2019,232.73,233.61,230.61,230.99,229.52,3120200
63,Sep-13-2019,234.33,234.97,232.33,233.98,232.49,3805500
64,Sep-12-2019,233.42,235.49,233.11,233.80,232.31,3366100
65,Sep-11-2019,232.93,233.68,231.02,232.66,231.18,2978300
66,Sep-10-2019,232.25,233.02,229.71,233.00,231.52,4210600
67,Sep-09-2019,231.50,233.87,230.08,232.87,231.39,4449100
68,Sep-06-2019,228.70,231.37,227.88,231.13,229.66,3237900
69,Sep-05-2019,226.30,228.78,226.25,228.15,226.70,3373100
70,Sep-04-2019,223.95,224.15,220.67,224.15,222.73,3132900
71,Sep-03-2019,226.45,227.63,223.38,224.07,221.29,4139400
72,Aug-30-2019,228.43,229.27,226.69,227.91,225.09,3768300
73,Aug-29-2019,223.90,227.70,223.76,227.32,224.50,4184200
74,Aug-28-2019,217.88,222.09,217.11,221.95,219.20,3066700
75,Aug-27-2019,219.55,220.41,217.91,218.21,215.51,4311700
76,Aug-26-2019,218.46,219.50,216.18,218.65,215.94,3680200
77,Aug-23-2019,219.90,220.87,216.01,217.47,214.78,5769300
78,Aug-22-2019,220.05,222.66,219.88,221.02,218.28,4544600
79,Aug-21-2019,218.73,220.88,216.76,220.40,217.67,7938600
80,Aug-20-2019,213.50,217.85,212.17,217.09,214.40,12452600
81,Aug-19-2019,206.98,208.82,205.30,207.95,205.37,6413600
82,Aug-16-2019,203.75,204.43,201.67,203.65,201.13,4093600
83,Aug-15-2019,203.00,203.76,199.05,201.79,199.29,4199700
84,Aug-14-2019,204.46,205.36,201.51,201.59,199.09,4582100
85,Aug-13-2019,206.31,211.62,204.78,208.33,205.75,3876700
86,Aug-12-2019,208.10,209.64,206.15,207.01,204.45,1782600
87,Aug-09-2019,211.45,212.41,207.95,210.02,207.42,2912100
88,Aug-08-2019,209.70,211.69,208.72,211.57,208.95,2968000
