,Date,Open,High,Low,Close,Adj Close,Volume
83,Aug-15-2019,131.22,132.37,130.25,131.92,130.38,3738900
84,Aug-14-2019,133.91,134.16,130.98,131.25,129.72,5114200
85,Aug-13-2019,133.80,136.57,132.81,135.79,134.20,4522100
86,Aug-12-2019,135.66,135.87,133.18,134.12,132.55,3895600
87,Aug-09-2019,139.27,139.31,135.35,136.13,134.54,5244600
88,Aug-08-2019,138.45,140.42,137.76,140.10,138.46,5261100
89,Aug-07-2019,138.74,139.58,136.41,139.11,135.89,5931900
90,Aug-06-2019,142.03,142.47,139.31,140.73,137.47,5070700
91,Aug-05-2019,144.98,145.10,139.15,140.76,137.50,7114900
92,Aug-02-2019,149.03,152.95,145.59,147.25,143.84,8101700
93,Aug-01-2019,148.90,152.82,148.50,150.32,146.84,6344000
94,Jul-31-2019,149.70,150.18,146.39,148.24,144.80,3722900
95,Jul-30-2019,150.00,150.40,149.22,149.77,146.30,2632700
96,Jul-29-2019,151.11,151.48,150.32,150.88,147.38,2075500
97,Jul-26-2019,151.00,151.41,150.10,151.36,147.85,2904300
98,Jul-25-2019,149.82,150.62,148.61,150.39,146.90,3102100
99,Jul-24-2019,150.12,151.45,149.20,150.03,146.55,2952400
100,Jul-23-2019,150.57,150.72,148.38,150.38,146.89,3742200
101,Jul-22-2019,150.16,151.94,149.70,149.74,146.27,4092600
102,Jul-19-2019,149.96,151.58,149.55,149.68,146.21,7290700
103,Jul-18-2019,142.50,150.31,142.20,149.63,146.16,12695400
104,Jul-17-2019,143.61,143.80,141.95,143.07,139.75,6064300
105,Jul-16-2019,143.17,144.04,143.02,143.53,140.20,3474700
106,Jul-15-2019,142.89,143.51,142.12,143.32,140.00,2368300
107,Jul-12-2019,141.92,142.92,141.66,142.74,139.43,2786200
108,Jul-11-2019,140.79,141.58,140.30,141.24,137.97,2132900
109,Jul-10-2019,140.00,141.91,139.79,140.47,137.21,2513900
110,Jul-09-2019,140.61,140.99,139.13,139.33,136.10,3365200
111,Jul-08-2019,141.05,141.29,140.27,140.57,137.31,2395300
112,Jul-05-2019,140.87,141.49,139.91,141.38,138.10,2134700
113,Jul-03-2019,140.72,141.82,140.43,141.54,138.26,1930400
114,Jul-02-2019,139.75,140.43,139.47,140.22,136.97,2409700
115,Jul-02-2019,139.75,140.43,139.47,140.22,136.97,2409700
116,Jul-01-2019,139.60,141.49,139.28,139.88,136.64,3377700
