,Date,Open,High,Low,Close,Volume,MktCap
0,"Jan 07, 2020","7,768.68","8,178.22","7,768.23","8,163.69",2876729132714,8152237654
1,"Jan 06, 2020","7,410.45","7,781.87","7,409.29","7,769.22",2327626159814,0976457304
2,"Jan 05, 2020","7,410.45","7,544.50","7,400.54","7,411.32",1972507409513,4469548249
3,"Jan 04, 2020","7,345.38","7,427.39","7,309.51","7,410.66",1844427127513,4442464030
4,"Jan 03, 2020","6,984.43","7,413.72","6,915.00","7,344.88",2811148103213,3233444755
5,"Jan 02, 2020","7,202.55","7,212.16","6,935.27","6,985.47",2080208346512,6699395235
6,"Jan 01, 2020","7,194.89","7,254.33","7,174.94","7,200.17",1856566499713,0580829150
7,"Dec 31, 2019","7,294.44","7,335.29","7,169.78","7,193.60",2116794611213,0446112598
8,"Dec 30, 2019","7,420.27","7,454.82","7,276.31","7,293.00",2287413167213,2235128152
9,"Dec 29, 2019","7,317.65","7,513.95","7,279.87","7,422.65",2244525770213,4570835775
10,"Dec 28, 2019","7,289.03","7,399.04","7,286.91","7,317.99",2136567302613,2659059740
11,"Dec 27, 2019","7,238.14","7,363.53","7,189.93","7,290.09",2277736099613,2139502950
12,"Dec 26, 2019","7,274.80","7,388.30","7,200.39","7,238.97",2278701003413,1200030100
13,"Dec 25, 2019","7,325.76","7,357.02","7,220.99","7,275.16",2155950514913,1840641292
14,"Dec 24, 2019","7,354.39","7,535.72","7,269.53","7,322.53",2299162210513,2687583295
15,"Dec 23, 2019","7,508.90","7,656.18","7,326.19","7,355.63",2783178804113,3275709111
16,"Dec 22, 2019","7,191.19","7,518.03","7,167.18","7,511.59",2313453795613,6088022049
17,"Dec 21, 2019","7,220.59","7,223.23","7,112.74","7,191.16",1931255216813,0267655889
18,"Dec 20, 2019","7,208.64","7,257.92","7,086.12","7,218.82",2263381518013,0752796980
19,"Dec 19, 2019","7,277.59","7,346.60","7,041.38","7,202.84",2590460441613,0445758713
20,"Dec 18, 2019","6,647.70","7,324.98","6,540.05","7,276.80",3183652277813,1754969804
21,"Dec 17, 2019","6,931.32","6,964.07","6,587.97","6,640.52",2236380421712,0234244809
22,"Dec 16, 2019","7,153.66","7,171.17","6,903.68","6,932.48",2021326595012,5515586952
23,"Dec 15, 2019","7,124.24","7,181.08","6,924.38","7,152.30",1688112980412,9481424648
24,"Dec 14, 2019","7,268.90","7,308.84","7,097.21","7,124.67",1713702973012,8970221233
25,"Dec 13, 2019","7,244.66","7,293.56","7,227.12","7,269.68",1712573694013,1581377758
26,"Dec 12, 2019","7,216.74","7,266.64","7,164.74","7,243.13",1892708022413,1087151088
27,"Dec 11, 2019","7,277.20","7,324.16","7,195.53","7,217.43",1635049068913,0609895528
28,"Dec 10, 2019","7,397.13","7,424.02","7,246.04","7,278.12",1824903119513,1696121855
29,"Dec 09, 2019","7,561.80","7,618.09","7,365.99","7,400.90",1787202127213,3904005787
30,"Dec 08, 2019","7,551.34","7,634.61","7,476.09","7,564.35",1540990808613,6847419896
31,"Dec 07, 2019","7,547.27","7,589.95","7,525.71","7,556.24",1545352056413,6686769529
32,"Dec 06, 2019","7,450.56","7,547.00","7,392.18","7,547.00",1810446630713,6504883935
33,"Dec 05, 2019","7,253.24","7,743.43","7,232.68","7,448.31",1881608523113,4706455048
34,"Dec 04, 2019","7,320.13","7,539.78","7,170.92","7,252.03",2166424091813,1143073943
35,"Dec 03, 2019","7,323.98","7,418.86","7,229.36","7,320.15",1479748576913,2359942301
36,"Dec 02, 2019","7,424.04","7,474.82","7,233.40","7,321.99",1708204070613,2378982377
37,"Dec 01, 2019","7,571.62","7,571.62","7,291.34","7,424.29",1872070847913,4215145410
38,"Nov 30, 2019","7,764.06","7,836.10","7,515.85","7,569.63",1715819478613,6829391049
39,"Nov 29, 2019","7,466.73","7,781.18","7,460.76","7,761.24",1970969545614,0280108521
40,"Nov 28, 2019","7,536.82","7,730.07","7,454.12","7,463.11",1905011675113,4879411013
41,"Nov 27, 2019","7,220.88","7,619.69","6,974.17","7,531.66",2399141276413,6102712894
42,"Nov 26, 2019","7,145.16","7,320.23","7,098.57","7,218.37",2112950554213,0429018720
43,"Nov 25, 2019","7,039.98","7,319.86","6,617.17","7,146.13",4268523126212,9112952930
44,"Nov 24, 2019","7,398.63","7,408.58","7,029.29","7,047.92",3043351728912,7327398565
45,"Nov 23, 2019","7,296.16","7,442.26","7,151.42","7,397.80",2100892441813,3636205957
46,"Nov 22, 2019","7,643.57","7,697.38","6,936.71","7,296.58",3424231578513,1791783672
47,"Nov 21, 2019","8,023.64","8,110.10","7,597.38","7,642.75",2251424337113,8031885379
48,"Nov 20, 2019","8,203.61","8,237.24","8,010.51","8,027.27",2076430043714,4962727398
49,"Nov 19, 2019","8,305.13","8,408.52","8,099.96","8,206.15",2108361381614,8178376843
50,"Nov 18, 2019","8,573.98","8,653.28","8,273.57","8,309.29",2157947067315,0025712267
51,"Nov 17, 2019","8,549.47","8,727.79","8,500.97","8,577.98",1866863889715,4861842425
52,"Nov 16, 2019","8,491.17","8,592.00","8,473.97","8,550.76",1649538980815,4354054194
53,"Nov 15, 2019","8,705.71","8,730.87","8,484.84","8,491.99",2179685647115,3277483626
54,"Nov 14, 2019","8,811.94","8,826.94","8,692.55","8,708.10",1908473997515,7160974644
55,"Nov 13, 2019","8,812.03","8,836.84","8,761.65","8,808.26",1754575540515,8949942842
56,"Nov 12, 2019","8,759.75","8,853.77","8,685.43","8,815.66",2030976910715,9068712900
57,"Nov 11, 2019","9,056.92","9,081.28","8,700.61","8,757.79",2026551076515,8009772437
58,"Nov 10, 2019","8,812.49","9,103.83","8,806.16","9,055.53",2058791988116,3364406732
59,"Nov 09, 2019","8,809.47","8,891.82","8,793.16","8,813.58",1757863060615,8981489715
60,"Nov 08, 2019","9,265.37","9,272.76","8,775.53","8,804.88",2433303783615,8808570729
61,"Nov 07, 2019","9,352.39","9,368.48","9,202.35","9,267.56",2270038383916,7138722904
62,"Nov 06, 2019","9,340.86","9,423.24","9,305.91","9,360.88",2313389576516,8806151583
63,"Nov 05, 2019","9,413.00","9,457.42","9,256.93","9,342.53",2619860904816,8459778835
64,"Nov 04, 2019","9,235.61","9,505.05","9,191.49","9,412.61",2617025563416,9706332936
65,"Nov 03, 2019","9,324.79","9,379.81","9,141.25","9,235.35",2113222084716,6495319475
66,"Nov 02, 2019","9,259.78","9,377.49","9,249.59","9,324.72",2124267638516,8090392935
67,"Nov 01, 2019","9,193.99","9,275.66","9,132.05","9,261.10",2432469103116,6928044164
68,"Oct 31, 2019","9,202.46","9,383.16","9,028.72","9,199.58",2658365394716,5804227835
69,"Oct 30, 2019","9,422.46","9,426.87","9,085.37","9,205.73",2770653157716,5899500650
70,"Oct 29, 2019","9,248.44","9,516.18","9,232.65","9,427.69",2842677993716,9883866262
71,"Oct 28, 2019","9,565.10","9,805.12","9,256.15","9,256.15",3094825533216,6777392742
72,"Oct 27, 2019","9,241.71","9,749.53","9,112.54","9,551.71",3259312950117,2087039875
73,"Oct 26, 2019","8,667.58","10,021.74","8,662.62","9,244.97",4449625560916,6547360782
74,"Oct 25, 2019","7,490.70","8,691.54","7,479.98","8,660.70",2870506548815,6006603607
75,"Oct 24, 2019","7,509.73","7,532.87","7,446.99","7,493.49",1626870884913,4968410276
76,"Oct 23, 2019","8,076.23","8,093.00","7,469.32","7,514.67",2194287895813,5337364282
77,"Oct 22, 2019","8,243.40","8,296.65","8,074.46","8,078.20",1680337785714,5469660005
78,"Oct 21, 2019","8,225.12","8,296.69","8,196.42","8,243.72",1586874886614,8432733155
79,"Oct 20, 2019","7,997.81","8,281.82","7,949.44","8,222.08",1550424944214,8026597064
80,"Oct 19, 2019","7,973.80","8,082.63","7,944.78","7,988.56",1379782564014,3808163807
81,"Oct 18, 2019","8,100.93","8,138.41","7,902.16","7,973.21",1565159261014,3517630376
82,"Oct 17, 2019","8,047.81","8,134.83","8,000.94","8,103.91",1431305224414,5853994298
83,"Oct 16, 2019","8,204.67","8,216.81","7,985.09","8,047.53",1607164699614,4823993562
84,"Oct 15, 2019","8,373.46","8,410.71","8,182.71","8,205.37",1522041263214,7650082215
85,"Oct 14, 2019","8,320.83","8,390.21","8,284.13","8,374.69",1515138785915,0680499056
86,"Oct 13, 2019","8,336.90","8,470.99","8,276.61","8,321.01",1380828605914,9700817939
87,"Oct 12, 2019","8,315.66","8,415.24","8,313.34","8,336.56",1453264160514,9965767624
88,"Oct 11, 2019","8,585.26","8,721.78","8,316.18","8,321.76",1960438110114,9685618275
89,"Oct 10, 2019","8,585.28","8,625.27","8,471.93","8,586.47",1761866067115,4430515160
90,"Oct 09, 2019","8,229.84","8,627.71","8,169.30","8,595.74",1938494233315,4579656110
91,"Oct 08, 2019","8,246.85","8,332.72","8,185.76","8,228.78",1559226403214,7966069982
92,"Oct 07, 2019","7,989.12","8,308.45","7,905.77","8,245.62",1800974260714,8252589805
93,"Oct 06, 2019","8,149.88","8,161.41","7,958.85","7,988.16",1316083030514,3607672862
94,"Oct 05, 2019","8,210.15","8,215.53","8,071.12","8,151.50",1220049719714,6529229668
95,"Oct 04, 2019","8,259.49","8,260.06","8,151.24","8,205.94",1313945622914,7491804056
96,"Oct 03, 2019","8,390.77","8,414.23","8,146.44","8,259.99",1366882340914,8448162840
97,"Oct 02, 2019","8,344.21","8,393.04","8,227.70","8,393.04",1312571244315,0823797662
98,"Oct 01, 2019","8,299.72","8,497.69","8,232.68","8,343.28",1530534341314,9913972768
99,"Sep 30, 2019","8,104.23","8,314.23","7,830.76","8,293.87",1711547418314,9011567415
